,cust_id,cust_name,cust_email
0,47178,William Doe,william.doe@gmail.com
1,94720,Emile Tumson,emile.tumson@gmail.com
2,59933,Ethan Jones,ethan.jones@gmail.com
3,23955,Daniel Smith,daniel.smith@gmail.com
4,59933,Ethan Jones,ethan.jones@gmail.com
5,23955,Daniel Smith,daniel.smith@gmail.com
6,47178,William Doe,william.doe@gmail.com
7,23955,Daniel Smith,daniel.smith@gmail.com
8,47178,William Doe,william.doe@gmail.com
9,59933,Ethan Jones,ethan.jones@gmail.com
10,47178,William Doe,william.doe@gmail.com
11,94720,Emile Tumson,emile.tumson@gmail.com
12,23955,Daniel Smith,daniel.smith@gmail.com
13,59933,Ethan Jones,ethan.jones@gmail.com
14,94720,Emile Tumson,emile.tumson@gmail.com
15,94720,Emile Tumson,emile.tumson@gmail.com
16,59933,Ethan Jones,ethan.jones@gmail.com
17,23955,Daniel Smith,daniel.smith@gmail.com
18,94720,Emile Tumson,emile.tumson@gmail.com
19,59933,Ethan Jones,ethan.jones@gmail.com
